127.0.0.1 - - [15/Nov/2022:13:52:31 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:37 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:39 +0700] "GET /trang-chu HTTP/1.1" 200 5838
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:40 +0700] "GET /views/web/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:40 +0700] "GET /views/common/css/icon/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:40 +0700] "GET /views/web/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:40 +0700] "GET /views/common/css/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:41 +0700] "GET /views/web/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:41 +0700] "GET /views/web/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:41 +0700] "GET /views/source/image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:41 +0700] "GET /views/common/css/icon/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:41 +0700] "GET /views/common/css/icon/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:41 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:42 +0700] "GET /api-slide?action=allSlide HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:42 +0700] "GET /api-category?action=allCategory HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:42 +0700] "GET /views/source/image/slide/slider1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:42 +0700] "GET /views/source/image/category/ct02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:42 +0700] "GET /views/source/image/category/ct01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:42 +0700] "GET /views/source/image/category/ct04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:42 +0700] "GET /views/source/image/category/ct03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:42 +0700] "GET /api-category?action=allCategory HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:43 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A0%2C%22maxItem%22%3A5%2C%22sortName%22%3A%22percentdes%22%2C%22sortBy%22%3A%22desc%22%2C%22filter%22%3A%7B%22sale%22%3A%22sale%22%7D%7D HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:43 +0700] "GET /views/source/image/product/pd03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:43 +0700] "GET /views/source/image/product/pd04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:43 +0700] "GET /views/source/image/product/pd05.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:43 +0700] "GET /views/source/image/product/pd02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:43 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A0%2C%22maxItem%22%3A5%2C%22sortName%22%3A%22date%22%2C%22sortBy%22%3A%22desc%22%7D HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:43 +0700] "GET /views/source/image/product/pd01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:44 +0700] "GET /api-product?action=sellProduct&paging=%7B%22offset%22%3A0%2C%22maxItem%22%3A5%7D HTTP/1.1" 200 3098
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:44 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A0%2C%22maxItem%22%3A12%2C%22sortName%22%3A%22view%22%2C%22sortBy%22%3A%22desc%22%7D HTTP/1.1" 200 7324
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:44 +0700] "GET /views/source/image/product/pd10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:44 +0700] "GET /views/source/image/product/pd06.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:44 +0700] "GET /views/source/image/product/pd07.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:44 +0700] "GET /views/source/image/product/pd08.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:44 +0700] "GET /views/source/image/product/pd09.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:50 +0700] "GET /views/source/image/slide/slider2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:52 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A12%2C%22maxItem%22%3A4%2C%22sortName%22%3A%22view%22%2C%22sortBy%22%3A%22desc%22%7D HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:53 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A16%2C%22maxItem%22%3A4%2C%22sortName%22%3A%22view%22%2C%22sortBy%22%3A%22desc%22%7D HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:55 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A20%2C%22maxItem%22%3A4%2C%22sortName%22%3A%22view%22%2C%22sortBy%22%3A%22desc%22%7D HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:52:58 +0700] "GET /views/source/image/slide/slider3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:02 +0700] "GET /product?action=productDetail&id=2 HTTP/1.1" 200 46516
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:02 +0700] "GET /views/web/js/productDetail.js HTTP/1.1" 200 10964
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:02 +0700] "GET /views/source/image/product/dt01.jpg HTTP/1.1" 200 295949
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:02 +0700] "GET /views/source/image/product/dt02.jpg HTTP/1.1" 200 482753
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:02 +0700] "GET /views/web/css/productDetail.css HTTP/1.1" 200 16794
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:02 +0700] "GET /product?action=productDetail&id=2 HTTP/1.1" 200 46516
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:03 +0700] "GET /api-category?action=allCategory HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:03 +0700] "GET /api-product?action=detailProduct&id=2 HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:04 +0700] "GET /api-cart?action=numberItem&id=2 HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:11 +0700] "GET /cart HTTP/1.1" 200 7638
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:11 +0700] "GET /views/web/css/cart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:11 +0700] "GET /views/web/js/cart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:11 +0700] "GET /views/common/js/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:15 +0700] "GET /api-cart?action=allItem&cart=%7B%22listCartItem%22%3A%5B%7B%22varietyId%22%3A2%2C%22userQuantity%22%3A1%7D%5D%7D HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:16 +0700] "GET /api-category?action=allCategory HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:36 +0700] "GET /api-cart?action=allItem&cart=%7B%22listCartItem%22%3A%5B%7B%22varietyId%22%3A2%2C%22userQuantity%22%3A1%7D%5D%7D HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:37 +0700] "POST /api-cart?action=addNew HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:39 +0700] "GET /trang-chu HTTP/1.1" 200 5838
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:39 +0700] "GET /api-slide?action=allSlide HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:39 +0700] "GET /api-category?action=allCategory HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:39 +0700] "GET /api-category?action=allCategory HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:39 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A0%2C%22maxItem%22%3A5%2C%22sortName%22%3A%22percentdes%22%2C%22sortBy%22%3A%22desc%22%2C%22filter%22%3A%7B%22sale%22%3A%22sale%22%7D%7D HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:39 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A0%2C%22maxItem%22%3A5%2C%22sortName%22%3A%22date%22%2C%22sortBy%22%3A%22desc%22%7D HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:39 +0700] "GET /api-product?action=sellProduct&paging=%7B%22offset%22%3A0%2C%22maxItem%22%3A5%7D HTTP/1.1" 200 3098
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:53:39 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A0%2C%22maxItem%22%3A12%2C%22sortName%22%3A%22view%22%2C%22sortBy%22%3A%22desc%22%7D HTTP/1.1" 200 7324
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:14 +0700] "GET /admin-home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:14 +0700] "GET /login HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:14 +0700] "GET /views/admin/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:14 +0700] "GET /views/admin/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:22 +0700] "POST /api-user?action=login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:22 +0700] "GET /admin-home HTTP/1.1" 200 15273
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:22 +0700] "GET /views/admin/css/header_menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:22 +0700] "GET /views/admin/css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:22 +0700] "GET /views/admin/js/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:22 +0700] "GET /views/admin/js/header_menu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:22 +0700] "GET /api-cart?action=listCart&paging=%7B%22sortName%22%3A%22date%22%2C%22sortBy%22%3A%22desc%22%2C%22filter%22%3A%7B%22stateid%22%3A1%7D%7D HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:22 +0700] "GET /views/common/css/icon/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:25 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-15%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:32 +0700] "GET /admin-home HTTP/1.1" 200 15273
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:32 +0700] "GET /api-cart?action=listCart&paging=%7B%22sortName%22%3A%22date%22%2C%22sortBy%22%3A%22desc%22%2C%22filter%22%3A%7B%22stateid%22%3A1%7D%7D HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:32 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-15%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:42 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-14%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:51 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-01%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:54:54 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-14%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:55:12 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-14%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:55:15 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-01%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:55:18 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-14%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:55:24 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-01%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:55:35 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-01%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:55:38 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-14%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:55:42 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-15%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:55:45 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-14%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:55:47 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-01%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:55:51 +0700] "GET /admin-bill?action=billDetail&billId=4 HTTP/1.1" 200 13084
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:55:51 +0700] "GET /views/admin/css/billDetail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:55:51 +0700] "GET /views/admin/js/billDetail.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:55:51 +0700] "GET /api-cart?action=billDetail&billId=4 HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:55:51 +0700] "GET /api-cart?action=listBillState HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:56:25 +0700] "GET /admin-home HTTP/1.1" 200 15273
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:56:25 +0700] "GET /api-cart?action=listCart&paging=%7B%22sortName%22%3A%22date%22%2C%22sortBy%22%3A%22desc%22%2C%22filter%22%3A%7B%22stateid%22%3A1%7D%7D HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:56:25 +0700] "GET /api-statistic?paging=%7B%22filter%22%3A%7B%22minday%22%3A%222022-11-15%22%2C%22maxday%22%3A%222022-11-15%22%7D%7D HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:56:40 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:56:40 +0700] "GET /trang-chu HTTP/1.1" 200 5838
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:56:40 +0700] "GET /api-slide?action=allSlide HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:56:40 +0700] "GET /api-category?action=allCategory HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:56:41 +0700] "GET /api-category?action=allCategory HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:56:41 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A0%2C%22maxItem%22%3A5%2C%22sortName%22%3A%22percentdes%22%2C%22sortBy%22%3A%22desc%22%2C%22filter%22%3A%7B%22sale%22%3A%22sale%22%7D%7D HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:56:41 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A0%2C%22maxItem%22%3A5%2C%22sortName%22%3A%22date%22%2C%22sortBy%22%3A%22desc%22%7D HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:56:41 +0700] "GET /api-product?action=sellProduct&paging=%7B%22offset%22%3A0%2C%22maxItem%22%3A5%7D HTTP/1.1" 200 3098
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:56:41 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A0%2C%22maxItem%22%3A12%2C%22sortName%22%3A%22view%22%2C%22sortBy%22%3A%22desc%22%7D HTTP/1.1" 200 7324
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:57:02 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A12%2C%22maxItem%22%3A4%2C%22sortName%22%3A%22view%22%2C%22sortBy%22%3A%22desc%22%7D HTTP/1.1" 200 2474
